wave,name,product_count,unique_values,recommended_type,filter_recommendation,top_values,top_categories,suggested_alias
5_rare_review,Потужність,5,4,select,card_only,5 Вт (2) | 3 Вт (1) | Регульована (1) | приблизно 100-200 Вт (1),"Туризм / ліхтарі (3) | Туризм / плити, горілки балони (1) | Туризм / посуд (1)",
5_rare_review,Довжина ручки,4,3,select,card_only,Регульована (2) | 120 см (1) | приблизно 1.5 м (1),"Підсаки, Садки, кукани / Підсаки (4)",
5_rare_review,Клімат,4,3,select,card_only,Універсальний (2) | Для холодної та дощової погоди (1) | Холодний (1),Туризм / одяг та взуття (4),
5_rare_review,Кількість пружин,4,2,select,card_only,3 (2) | 2 (2),Готові монтажі / інші (3) | Все для монтажу / грузила / спінінгові (1),
5_rare_review,Особливості,4,2,select,card_only,"Стійкість до пошкоджень, легкість в обслуговуванні (3) | Зручна кліпса для швидкої зміни монтажу (1)","Підсаки, Садки, кукани / Садки кукани (3) | Готові монтажі / інші (1)",
5_rare_review,Температурний режим,4,2,select,card_only,-30°C (2) | -15°C (2),Туризм / одяг та взуття (4),
5_rare_review,Умови використання,4,2,select,card_only,Тепла вода (3) | На відкритому повітрі (1),PVA матеріали та аксесуари / PVA матеріали (3) | Туризм / одяг та взуття (1),
5_rare_review,Додаткові функції,3,3,select,card_only,"Комфортна ручка (1) | Зажим, для зручності використання (1) | Рулетка (1)",PVA матеріали та аксесуари / Інструменти (2) | Все для монтажу / Інше для оснащення (1),
5_rare_review,Кількість місць,3,3,select,card_only,2-4 (1) | 2 (1) | 3 (1),Туризм / посуд (3),
5_rare_review,Матеріал ручки,3,2,select,card_only,Метал (2) | Пластик (1),"Підсаки, Садки, кукани / Підсаки (2) | Зимова ловля / аксесуари (1)",
5_rare_review,Розмір гачка,3,3,select,card_only,№18 (1) | 18 (1) | №6 (1),Готові монтажі / оранж (3),
5_rare_review,Світловий потік,3,3,select,card_only,500 люмен (1) | 300 люмен (1) | До 300 Лм (1),Туризм / ліхтарі (3),
5_rare_review,Стать,3,2,select,card_only,Унісекс (2) | Чоловіча (1),Туризм / одяг та взуття (3),
5_rare_review,Фарбування,3,1,select,card_only,Водостійке (3),Все для монтажу / грузила / спінінгові (3),
5_rare_review,Час роботи,3,1,select,card_only,до 10 годин (3),Туризм / ліхтарі (3),
5_rare_review,Ширина,3,3,select,card_only,24 мм (1) | 30 см (1) | 20 см (1),"PVA матеріали та аксесуари / PVA матеріали (1) | Підсаки, Садки, кукани / Підсаки (1) | Чохли / всі (1)",
5_rare_review,Ємність,2,1,select,card_only,не менше 500 мАг (2),Туризм / батарейки (2),
5_rare_review,Водостійкість,2,1,select,card_only,Так (2),Туризм / ліхтарі (2),
5_rare_review,Габарити,2,1,select,card_only,Стандартні (2),"Відра, сумки та органайзери / коробки органайзери (2)",
5_rare_review,Гачки,2,1,select,card_only,мікс (2),Херабуна / готові оснастки (2),
5_rare_review,Голова,2,2,select,card_only,Трикутна (1) | 40 см (1),"Підсаки, Садки, кукани / Підсаки (1) | Херабуна / підсак, садок (1)",
5_rare_review,Захист,2,1,select,card_only,UV400 (2),Туризм / одяг та взуття (2),
5_rare_review,Кількість відводів,2,1,select,card_only,1 (2),Готові монтажі / інші (2),
5_rare_review,Кількість елементів,2,2,select,card_only,3 (1) | Багатофункціональний (1),Готові монтажі / інші (1) | Зимова ловля / аксесуари (1),
5_rare_review,Кількість елементів у комплекті,2,1,select,card_only,5 (2),Готові монтажі / інші (2),
5_rare_review,Кількість застібок,2,2,select,card_only,10 (1) | 7 (1),"Підсаки, Садки, кукани / Садки кукани (2)",
5_rare_review,Кількість оснасток,2,1,select,card_only,2 (2),Херабуна / готові оснастки (2),
5_rare_review,Максимальна довжина,2,1,select,card_only,1.7 м (2),"Підсаки, Садки, кукани / Підсаки (2)",
5_rare_review,Матеріал оббивки,2,2,select,card_only,Оксфорд (1) | Текстиль (1),"Крісла, стільці та столи / стільці (2)",
5_rare_review,Розмір гачків,2,2,select,card_only,№6 (1) | Відповідно до стандартів (1),Готові монтажі / оранж (1) | Готові монтажі / інші (1),
5_rare_review,Розмір сітки,2,2,select,card_only,приблизно 50 см (1) | 60 см (1),"Підсаки, Садки, кукани / Підсаки (2)",
5_rare_review,Розмір частинок,2,2,select,card_only,3-6мм (1) | 3-6 мм (1),Прикормка / Технопланктон (2),
5_rare_review,Ручка,2,1,select,card_only,Телескопічна (2),"Підсаки, Садки, кукани / Підсаки (2)",
5_rare_review,Сезонність,2,2,select,card_only,Зимова (1) | Літній/зимовий (1),Туризм / одяг та взуття (1) | Туризм / посуд (1),
5_rare_review,Ступінь утеплення,2,2,select,card_only,Середній (1) | Середня (1),Туризм / одяг та взуття (2),
5_rare_review,Телескопічний,2,1,select,card_only,Так (2),"Підсаки, Садки, кукани / Підсаки (2)",
5_rare_review,Теплоізоляція,2,2,select,card_only,До -30°C (1) | Так (1),Туризм / одяг та взуття (2),
5_rare_review,Утеплення,2,1,select,card_only,Так (2),Туризм / одяг та взуття (2),
5_rare_review,Фасування,2,1,select,card_only,Пакет (2),Прикормка / Fanatik / все скопом (1) | Прикормка / Інші бренди (1),
5_rare_review,Форм-фактор,2,2,select,card_only,Крона (1) | 6LR61 (1),Туризм / батарейки (2),
5_rare_review,Форма голови,2,2,select,card_only,Овальна (1) | П'ятикутна (1),"Підсаки, Садки, кукани / Підсаки (2)",
5_rare_review,Формат,2,2,select,card_only,Електронний (1) | AA (міні пальчик) (1),Подарункові сертифікати / всі (1) | Туризм / посуд (1),
5_rare_review,Яскравість,2,2,select,card_only,До 300 люмен (1) | До 500 люмен (1),Туризм / ліхтарі (2),
5_rare_review,Витримує навантаження,1,1,select,card_only,до 120 кг (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Відділення,1,1,select,card_only,Багато (1),"Відра, сумки та органайзери / сумки (1)",
5_rare_review,Гачок,1,1,select,card_only,№6 (1),Готові монтажі / оранж (1),
5_rare_review,Гучність сигналу,1,1,select,card_only,Регульована (1),Сигналізатори клювання / механічні (1),
5_rare_review,Джерело світла,1,1,select,card_only,Світлодіоди (1),Туризм / ліхтарі (1),
5_rare_review,Довжина в розкладеному вигляді,1,1,select,card_only,"2,4 м (1)","Підсаки, Садки, кукани / ручки та голови до підсака (1)",
5_rare_review,Довжина в складеному вигляді,1,1,select,card_only,"1,2 м (1)","Підсаки, Садки, кукани / ручки та голови до підсака (1)",
5_rare_review,Довжина оснастки,1,1,select,card_only,30 см (1),Готові монтажі / інші (1),
5_rare_review,Довжина рукоятки,1,1,select,card_only,1.5 м (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Довжина шнура,1,1,select,card_only,2 м (1),"Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Додаткові особливості,1,1,select,card_only,Легко змінюється (1),Готові монтажі / інші (1),
5_rare_review,Діаметр голови,1,1,select,card_only,70 см (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Діаметр кошика,1,1,select,card_only,40 см (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Діаметр рами,1,1,select,card_only,55 см (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Діаметр сітки,1,1,select,card_only,"0,65 мм (1)","Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Діапазон температур,1,1,select,card_only,-40° до +100°С (1),Готові монтажі / оранж (1),
5_rare_review,Запалювання,1,1,select,card_only,Пєзоелектричне (1),"Туризм / плити, горілки балони (1)",
5_rare_review,Категорія,1,1,select,card_only,Мотиль (1),Приманки / воблери (1),
5_rare_review,Кліматичний режим,1,1,select,card_only,3-сезонний (1),Туризм / посуд (1),
5_rare_review,Кліматичні умови,1,1,select,card_only,Прохолодна погода (1),Туризм / одяг та взуття (1),
5_rare_review,Комфорт,1,1,select,card_only,М'яке сидіння (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Користування,1,1,select,card_only,Онлайн-замовлення (1),Подарункові сертифікати / всі (1),
5_rare_review,Користувацька група,1,1,select,card_only,Рибалки (1),Зимова ловля / сані (1),
5_rare_review,Кут,1,1,select,card_only,45° (1),Херабуна / готові оснастки (1),
5_rare_review,Кут нахилу,1,1,select,card_only,Регульований (1),Туризм / ліхтарі (1),
5_rare_review,Кут освітлення,1,1,select,card_only,120 градусів (1),Туризм / ліхтарі (1),
5_rare_review,Кількість вудок,1,1,select,card_only,4 (1),Чохли / всі (1),
5_rare_review,Кількість конфорок,1,1,select,card_only,1 (1),"Туризм / плити, горілки балони (1)",
5_rare_review,Кількість кріплень,1,1,select,card_only,2 (1),Готові монтажі / інші (1),
5_rare_review,Кількість кілець,1,1,select,card_only,3 (1),"Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Кількість поводків,1,1,select,card_only,3 (1),Готові монтажі / інші (1),
5_rare_review,Кількість підлокітників,1,1,select,card_only,2 (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Кількість частин,1,1,select,card_only,1 (1),Туризм / посуд (1),
5_rare_review,Кількість шипів,1,1,select,card_only,6 (1),Зимова ловля / аксесуари (1),
5_rare_review,Кільця,1,1,select,card_only,Металеві (1),"Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Матеріал голови,1,1,select,card_only,Метал (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Матеріал каркасу,1,1,select,card_only,Метал (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Підошва,1,1,select,card_only,Протекторна (1),Туризм / одяг та взуття (1),
5_rare_review,Регулювання,1,1,select,card_only,Так (1),Туризм / одяг та взуття (1),
5_rare_review,Режими роботи,1,1,select,card_only,"Основний, мигаючий (1)",Туризм / ліхтарі (1),
5_rare_review,Розбірний,1,1,select,card_only,Так (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Розмір (мм),1,1,select,card_only,260*187*48 (1),"Відра, сумки та органайзери / коробки органайзери (1)",
5_rare_review,Розмір в розкладеному вигляді,1,1,select,card_only,стандартний (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Розмір в складеному вигляді,1,1,select,card_only,100 x 15 x 15 см (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Розмір у складеному вигляді,1,1,select,card_only,компактний (1),Туризм / посуд (1),
5_rare_review,Рік випуску,1,1,select,card_only,2017 (1),Готові монтажі / оранж (1),
5_rare_review,Система,1,1,select,card_only,Телескопічна (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Складність,1,1,select,card_only,Складне (1),"Крісла, стільці та столи / стільці (1)",
5_rare_review,Спосіб використання,1,1,select,card_only,Онлайн покупка (1),Подарункові сертифікати / всі (1),
5_rare_review,Спосіб зарядки,1,1,select,card_only,USB (1),Туризм / ліхтарі (1),
5_rare_review,Ступінь вологості,1,1,select,card_only,Середня (1),Прикормка / Real Fish (1),
5_rare_review,Ступінь теплоізоляції,1,1,select,card_only,Середня (1),Туризм / одяг та взуття (1),
5_rare_review,Ступінь тесту,1,1,select,card_only,До 10 кг (1),Херабуна / готові оснастки (1),
5_rare_review,Сфера використання,1,1,select,card_only,Риболовля (1),Подарункові сертифікати / всі (1),
5_rare_review,Сфера застосування,1,1,select,card_only,Стаціонарна риболовля (1),Готові монтажі / інші (1),
5_rare_review,Телескопічна,1,1,select,card_only,Так (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Термін придатності,1,1,select,card_only,24 місяці (1),Приманки / воблери (1),
5_rare_review,Технологія,1,1,select,card_only,Thinsulate (1),Туризм / одяг та взуття (1),
5_rare_review,Тип грузила,1,1,select,card_only,Шар (1),Все для монтажу / грузила / спінінгові (1),
5_rare_review,Тип живлення,1,1,select,card_only,Акумулятор/батарейки (1),Туризм / ліхтарі (1),
5_rare_review,Тип замка,1,1,select,card_only,Телескопічний посилений (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Тип підошви,1,1,select,card_only,Протекторна (1),Туризм / одяг та взуття (1),
5_rare_review,Форма рами,1,1,select,card_only,П'ятикутна (1),"Підсаки, Садки, кукани / Підсаки (1)",
5_rare_review,Форма упаковки,1,1,select,card_only,Пакет (1),Прикормка / Інші бренди (1),
5_rare_review,Чохол,1,1,select,card_only,є (1),"Підсаки, Садки, кукани / Садки кукани (1)",
5_rare_review,Ширина сітки,1,1,select,card_only,80 см (1),"Підсаки, Садки, кукани / Підсаки (1)",
